file_id,category,original_source_filename,new_wixstatic_url
Portfolio_21,Portfolio,d9828b_7f1a32a8fe10427cafbe647d9c3edc53~mv2.jpg,https://static.wixstatic.com/media/64b604_911989f2e7ec40449e3af16ec76df729~mv2.jpeg
Portfolio_22,Portfolio,d9828b_801cf90ba5e04c7bb182cc61e542e4d5~mv2.jpg,https://static.wixstatic.com/media/64b604_d85ebb0a791444d2bf066d66b56cc28d~mv2.jpeg
Portfolio_23,Portfolio,d9828b_8aafa731b69c4b3a88d442102767effa~mv2.jpg,https://static.wixstatic.com/media/64b604_143fe9a153144f17965e3966f2919892~mv2.jpeg
Portfolio_24,Portfolio,d9828b_8af7c251e6e0488188240060dc43a077~mv2.jpg,https://static.wixstatic.com/media/64b604_a8cfba711da0401491558d7b672900a3~mv2.jpeg
Portfolio_25,Portfolio,d9828b_933450b3dd3348208f95c3e33cd88a82~mv2.jpg,https://static.wixstatic.com/media/64b604_2fadc168b10c4853b32cb35c72fc023b~mv2.jpeg
Portfolio_26,Portfolio,d9828b_94a06d8274bf4fc19d20e895e478b8d7~mv2.jpg,https://static.wixstatic.com/media/64b604_ab764bbc2bd341e593c144de14e3839a~mv2.jpeg
Portfolio_27,Portfolio,d9828b_9a2dd8d6ab744124b24a5874644e9226~mv2.jpg,https://static.wixstatic.com/media/64b604_6d787ec44dd14bb5820d300ba95679dd~mv2.jpeg
Portfolio_28,Portfolio,d9828b_a07e1aed3e8a435fa168a9933d12bfdc~mv2.jpg,https://static.wixstatic.com/media/64b604_4205f0e960d94555857430409d7a840d~mv2.jpeg
Portfolio_29,Portfolio,d9828b_a277d2494c974c12877f2bc2a5739276~mv2.jpg,https://static.wixstatic.com/media/64b604_42982546e42842bda85b0ca6bbcaf941~mv2.jpeg
Portfolio_30,Portfolio,d9828b_a56f5a5658184c74bcb3132dcb85eedc~mv2.jpg,https://static.wixstatic.com/media/64b604_2ad766a98dd9407dbb83a13b6d1fd184~mv2.jpeg
Portfolio_31,Portfolio,d9828b_a6544565e6a948228e0fc5f558cf334b~mv2.jpg,https://static.wixstatic.com/media/64b604_0acd871923c148fc9ac34669bba9d555~mv2.jpeg
Portfolio_32,Portfolio,d9828b_a792dcdfa4054c8fbdf8859a4a1c10df~mv2.jpg,https://static.wixstatic.com/media/64b604_aed71c0306ba4bd08be44753dc10a836~mv2.jpeg
Portfolio_33,Portfolio,d9828b_b3c7e63cfdd04e66aabc6f707088a0f9~mv2.jpg,https://static.wixstatic.com/media/64b604_776ab6a1bcd14db2b95703e59632b2b4~mv2.jpeg
Portfolio_34,Portfolio,d9828b_c2a3ce875fc04ddab5c5fc09a45b230e~mv2.jpg,https://static.wixstatic.com/media/64b604_39e32df33f1f47e9939fc964478ac57b~mv2.jpeg
Portfolio_35,Portfolio,d9828b_c37896be6b8c4f929ec7eca159fbd4fc~mv2.jpg,https://static.wixstatic.com/media/64b604_7d8fdac44e8643f6a717cf071077bf7c~mv2.jpeg
Portfolio_36,Portfolio,d9828b_d344fde378c4422bbb1ae9b9758a0fc9~mv2.jpg,https://static.wixstatic.com/media/64b604_4eebe50b98154767a4488689fc84477b~mv2.jpeg
Portfolio_37,Portfolio,d9828b_d87f143bc3574c599e9a94c33a08f68f~mv2.jpg,https://static.wixstatic.com/media/64b604_e8e26f04f0c244898fc80b18746dacbb~mv2.jpeg
Portfolio_38,Portfolio,d9828b_dcdc2cb563094a3b89805e1df15e038c~mv2.jpg,https://static.wixstatic.com/media/64b604_5849d546b0c34c91ac87049e3cd2c186~mv2.jpeg
Portfolio_39,Portfolio,d9828b_dd8ce18a72e94c4fa877aa68589c2ca2~mv2.jpg,https://static.wixstatic.com/media/64b604_262b6026b9d3450d8d956c2873ff0df8~mv2.jpeg
Portfolio_40,Portfolio,d9828b_e811e0a7eecc49b7bd69ec950941fc68~mv2.jpg,https://static.wixstatic.com/media/64b604_89794c2ed62144f8b0cce53bb9bf2a23~mv2.jpeg
Portfolio_41,Portfolio,d9828b_efba128250fb46a1bc057711831a345a~mv2.jpg,https://static.wixstatic.com/media/64b604_6f3b13e8bbd349f08d4d4cf641557285~mv2.jpeg
Portfolio_42,Portfolio,d9828b_f5f8ccdce42b42ebb637ce94c617be3c~mv2.jpg,https://static.wixstatic.com/media/64b604_9848993bc0ac462ebc34dfaf46c27e15~mv2.jpeg
Portfolio_43,Portfolio,d9828b_f8f1cd124e0c44e2a09c7faaf202d162~mv2.jpg,https://static.wixstatic.com/media/64b604_5f5afd2ffaac449d835ef226329f2470~mv2.jpeg
Portfolio_44,Portfolio,d9828b_fdbe800b3cf640c3bb5de8f0cd051ef8~mv2.jpg,https://static.wixstatic.com/media/64b604_c53805e63cfc4e6ea8185865e9574cab~mv2.jpeg
